Code_commune_Insee_2022,Libelle_commune_2022,Population_active_emploi_1999,Distance_mediane_domicile_travail_1999_km,Population_active_emploi_2019,Distance_mediane_domicile_travail_2019_km,Ecart_distance_mediane_km,Evolution_distance_mediane_pct,Categorie_densite
01133,Cressin-Rochefort,120,8.5,169.569620253165,11.1,2.5999999999999996,30.58823529411764,Rural à habitat dispersé non périurbain
01134,Crottet,676,7.4,760.354508583452,7.4,0,0,Bourgs ruraux périurbains
01135,Crozet,292,5.8,454.624938221018,5.8,0,0,Urbain
01136,Cruzilles-lès-Mépillat,272,13.1,375,13.1,0,0,Rural à habitat dispersé périurbain
01138,Culoz,1024,0.9,1050.65254263055,5.9,5,555.5555555555555,Bourgs ruraux non périurbains
01139,Curciat-Dongalon,148,1.6,181.576163899763,6.4,4.800000000000001,300,Rural à habitat dispersé périurbain
01140,Curtafond,272,15.4,343.711642803444,15.4,0,0,Rural à habitat dispersé périurbain
01141,Cuzieu,132,7.5,171.302713318024,7.5,0,0,Rural à habitat dispersé non périurbain
01142,Dagneux,1640,12.6,2263.66311179802,16.7,4.1,32.53968253968254,Urbain
01143,Divonne-les-Bains,1407,1.5,1455.70535098165,1.5,0,0,Urbain
01145,Dompierre-sur-Veyle,428,16.7,540.13981066552,16.7,0,0,Rural à habitat dispersé périurbain
01146,Dompierre-sur-Chalaronne,96,7.85,200,29.3,21.450000000000003,273.2484076433122,Rural à habitat dispersé non périurbain
01147,Domsure,160,6.7,208.108159056786,12.5,5.8,86.56716417910448,Rural à habitat dispersé périurbain
01148,Dortan,1012,8.2,804.495042686075,8.2,0,0,Bourgs ruraux périurbains
01149,Douvres,276,4.9,442.595978062157,17.7787934186472,12.8787934186472,262.83251874790204,Bourgs ruraux non périurbains
