Commune_Number,Commune_Name,EPCI_Number,Very_Low_Income_Population_Count,Very_Low_Income_Population_Percent
6052,Cuébris,200039931,nd,10.2
6053,Daluis,200039931,nd,10.2
6054,Drap,240600593,8.4,6.4
6055,Duranus,200030195,nd,11.2
6056,Entraunes,200039931,nd,10.2
6057,L'Escarène,240600593,9,6.4
6058,Escragnolles,200039857,nd,7.3
6059,Èze,200030195,nd,11.2
6060,Falicon,200030195,nd,11.2
6061,Les Ferres,240600585,nd,7.9
6062,Fontan,240600551,9,9.1
6063,Gars,200039857,nd,7.3
6064,Gattières,200030195,nd,11.2
6065,La Gaude,200030195,nd,11.2
6066,Gilette,200030195,nd,11.2
6067,Gorbio,240600551,5.8,9.1
6068,Gourdon,240600585,nd,7.9
6069,Grasse,200039857,nd,7.3
6070,Gréolières,240600585,nd,7.9
6071,Guillaumes,200039931,nd,10.2
6072,Ilonse,200030195,nd,11.2
6073,Isola,200030195,nd,11.2
6074,Lantosque,200030195,nd,11.2
6075,Levens,200030195,nd,11.2
6076,Lieuche,200039931,nd,10.2
6077,Lucéram,240600593,7.4,6.4
6078,Malaussène,200039931,nd,10.2
6079,Mandelieu-la-Napoule,200039915,6.5,9.4
6080,Marie,200030195,nd,11.2
6081,Le Mas,200039857,nd,7.3
6082,Massoins,200039931,nd,10.2
6083,Menton,240600551,8.5,9.1
6084,Mouans-Sartoux,200039857,nd,7.3
6085,Mougins,200039915,6.3,9.4
6086,Moulinet,240600551,15.8,9.1
6087,Les Mujouls,200039857,nd,7.3
6088,Nice,200030195,nd,11.2
6089,Opio,240600585,nd,7.9
6090,Pégomas,200039857,nd,7.3
6091,Peille,240600593,8.2,6.4
6092,Peillon,240600593,4.4,6.4
6093,La Penne,200039931,nd,10.2
6094,Péone,200039931,nd,10.2
6095,Peymeinade,200039857,nd,7.3
6096,Pierlas,200039931,nd,10.2
6097,Pierrefeu,200039931,nd,10.2
6098,Puget-Rostang,200039931,nd,10.2
6099,Puget-Théniers,200039931,nd,10.2
6100,Revest-les-Roches,200039931,nd,10.2
6101,Rigaud,200039931,nd,10.2
6102,Rimplas,200030195,nd,11.2
6103,Roquebillière,200030195,nd,11.2
6104,Roquebrune-Cap-Martin,240600551,7.8,9.1
6105,Roquefort-les-Pins,240600585,nd,7.9
6106,Roquestéron,200039931,nd,10.2
6107,La Roque-en-Provence,240600585,nd,7.9
6108,La Roquette-sur-Siagne,200039857,nd,7.3
6109,La Roquette-sur-Var,200030195,nd,11.2
6110,Roubion,200030195,nd,11.2
6111,Roure,200030195,nd,11.2
6112,Le Rouret,240600585,nd,7.9
6113,Sainte-Agnès,240600551,4.9,9.1
6114,Saint-André-de-la-Roche,200030195,nd,11.2
6115,Saint-Antonin,200039931,nd,10.2
6116,Saint-Auban,200039857,nd,7.3
6117,Saint-Blaise,200030195,nd,11.2
6118,Saint-Cézaire-sur-Siagne,200039857,nd,7.3
6119,Saint-Dalmas-le-Selvage,200030195,nd,11.2
6120,Saint-Étienne-de-Tinée,200030195,nd,11.2
6121,Saint-Jean-Cap-Ferrat,200030195,nd,11.2
6122,Saint-Jeannet,200030195,nd,11.2
6123,Saint-Laurent-du-Var,200030195,nd,11.2
6124,Saint-Léger,200039931,nd,10.2
6125,Saint-Martin-d'Entraunes,200039931,nd,10.2
6126,Saint-Martin-du-Var,200030195,nd,11.2
6127,Saint-Martin-Vésubie,200030195,nd,11.2
6128,Saint-Paul-de-Vence,240600585,nd,7.9
6129,Saint-Sauveur-sur-Tinée,200030195,nd,11.2
6130,Saint-Vallier-de-Thiey,200039857,nd,7.3
6131,Sallagriffon,200039931,nd,10.2
6132,Saorge,240600551,20.2,9.1
6133,Sauze,200039931,nd,10.2
6134,Séranon,200039857,nd,7.3
6135,Sigale,200039931,nd,10.2
6136,Sospel,240600551,8.4,9.1
6137,Spéracèdes,200039857,nd,7.3
6138,Théoule-sur-Mer,200039915,8.5,9.4
6139,Thiéry,200039931,nd,10.2
6140,Le Tignet,200039857,nd,7.3
6141,Toudon,200039931,nd,10.2
6142,Touët-de-l'Escarène,240600593,7,6.4
6143,Touët-sur-Var,200039931,nd,10.2
6144,La Tour,200030195,nd,11.2
6145,Tourette-du-Château,200039931,nd,10.2
6146,Tournefort,200030195,nd,11.2
6147,Tourrette-Levens,200030195,nd,11.2
6148,Tourrettes-sur-Loup,240600585,nd,7.9
6149,La Trinité,200030195,nd,11.2
6150,La Turbie,240600551,5.7,9.1
6151,Utelle,200030195,nd,11.2
6152,Valbonne,240600585,nd,7.9
6153,Valdeblore,200030195,nd,11.2
6154,Valderoure,200039857,nd,7.3
6155,Vallauris,240600585,nd,7.9
6156,Venanson,200030195,nd,11.2
6157,Vence,200030195,nd,11.2
6158,Villars-sur-Var,200039931,nd,10.2
6159,Villefranche-sur-Mer,200030195,nd,11.2
6160,Villeneuve-d'Entraunes,200039931,nd,10.2
6161,Villeneuve-Loubet,240600585,nd,7.9
6162,La Brigue,240600551,21.5,9.1
6163,Tende,240600551,12.8,9.1
7001,Accons,200041465,nd,7.1
7002,Ailhon,200073245,nd,8.9
7003,Aizac,200073245,nd,8.9
7004,Ajoux,200071413,nd,8.1
7005,Alba-la-Romaine,200071405,nd,8.1
7006,Albon-d'Ardèche,200041465,nd,7.1
